chain,project,symbol,tvlUsd,apyBase,apyReward,apy,rewardTokens,pool,apyPct1D,apyPct7D,apyPct30D,stablecoin,ilRisk,exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apyMean30d,volumeUsd1d,volumeUsd7d,apyBaseInception
Flare,sparkdex-v4,SFLR-WFLR,1017538,0.02594,9.33486,9.3608,"['0x26d460c3Cf931Fb2014FA436a49e3Af08619810e', '0x1d80c49bbbcd1c0911346656b529df9e5c2f783d']",9ea77171-3c46-4d50-b2fa-888e7c490164,0.04965,-0.83187,,False,yes,multi,"{'predictedClass': 'Down', 'predictedProbability': 72, 'binnedConfidence': 2}",,10.41407,0.04748,15,False,"['0x12e605bc104e93b45e1ad99f9e555f659051c2bb', '0x1d80c49bbbcd1c0911346656b529df9e5c2f783d']",,,10.51602,,,
Flare,sparkdex-v4,STFLR-WFLR,843804,0.07652,9.7231,9.79963,"['0x26d460c3Cf931Fb2014FA436a49e3Af08619810e', '0x1d80c49bbbcd1c0911346656b529df9e5c2f783d']",dc48c740-b7bd-4026-8040-adc83232d80d,-0.00858,0.28106,,False,yes,multi,"{'predictedClass': 'Down', 'predictedProbability': 62, 'binnedConfidence': 2}",,10.02189,0.02427,15,False,"['0x0988c6ba244a90c07a917ebe609eb3264be716ff', '0x1d80c49bbbcd1c0911346656b529df9e5c2f783d']",,,10.05998,,,
Flare,sparkdex-v4,WFLR-FXRP,743367,6.8455,15.79366,22.63916,"['0x26d460c3Cf931Fb2014FA436a49e3Af08619810e', '0x1d80c49bbbcd1c0911346656b529df9e5c2f783d']",86656bca-cc02-4447-9934-4d45f11c254a,5.24841,1.63086,,False,yes,multi,"{'predictedClass': 'Down', 'predictedProbability': 85, 'binnedConfidence': 3}",,20.16002,0.10668,15,False,"['0x1d80c49bbbcd1c0911346656b529df9e5c2f783d', '0xad552a648c74d49e10027ab8a618a3ad4901c5be']",,,19.94304,,,
Ethereum,sky-lending,G-UNI,550317,,,0.0,,f38a1e55-ee6a-427c-83b5-74232e1b2c24,0.0,0.0,0.0,False,yes,multi,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",GUNIV3DAIUSDC2-A,0.0,0.0,1179,False,['0x50379f632ca68D36E50cfBC8F78fe16bd1499d1e'],,,0.0,,,
Flare,sparkdex-v3.1,WFLR-SPRK,531056,1.16996,4.39336,5.56332,['0x26d460c3Cf931Fb2014FA436a49e3Af08619810e'],4813a787-4ed2-46e0-b752-b2bd9b91e5f1,-4.03379,-1.81409,1.14705,False,yes,multi,"{'predictedClass': 'Stable/Up', 'predictedProbability': 71, 'binnedConfidence': 2}",,15.78847,0.39843,252,False,"['0x1d80c49bbbcd1c0911346656b529df9e5c2f783d', '0x657097cc15fdec9e383db8628b57ea4a763f2ba0']",,,6.10336,,,
Ethereum,spark-savings,PYUSD,522635,3.75,,3.75,,4d33c615-a969-4c55-9acf-49d8d14a1063,0.0,0.0,-0.25,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",,3.92816,0.00573,101,False,['0x6c3ea9036406852006290770BEdFcAbA0e23A0e8'],,,3.76838,,,
Flare,sparkdex-v3.1,FXRP-USD₮0,467083,12.10615,,12.10615,,552f9391-52f8-458a-abf6-1070a28562a4,10.79963,-3.36376,-7.70131,False,yes,multi,"{'predictedClass': 'Stable/Up', 'predictedProbability': 72, 'binnedConfidence': 2}",,34.78324,0.67346,195,True,"['0xad552a648c74d49e10027ab8a618a3ad4901c5be', '0xe7cd86e13ac4309349f30b3435a9d337750fc82d']",,,14.15146,,,
Flare,sparkdex-v3.1,SFLR-WFLR,403218,0.09459,3.21551,3.3101,['0x26d460c3Cf931Fb2014FA436a49e3Af08619810e'],eaa4cf8c-5f2f-40bb-9248-adaa243d0728,-0.23141,-2.03233,-4.00404,False,yes,multi,"{'predictedClass': 'Stable/Up', 'predictedProbability': 89, 'binnedConfidence': 3}",,22.48984,0.3863,427,False,"['0x12e605bc104e93b45e1ad99f9e555f659051c2bb', '0x1d80c49bbbcd1c0911346656b529df9e5c2f783d']",,,5.17293,,,
Ethereum,sky-lending,WBTC,381935,,,0.0,,0b65cb9f-2c63-40d5-9344-2a867fbfc41a,0.0,0.0,0.0,False,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",WBTC-B,0.0,0.0,1254,False,['0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599'],,,0.0,,,
Ethereum,sky-lending,G-UNI,305008,,,0.0,,1b91b7d4-0438-41ee-8224-41adba87422d,0.0,0.0,0.0,False,yes,multi,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",GUNIV3DAIUSDC1-A,0.0,0.0,1179,False,['0xAbDDAfB225e10B90D798bB8A886238Fb835e2053'],,,0.0,,,
Flare,sparkdex-v4,WETH-USD₮0,298801,14.62867,14.04793,28.6766,['0x26d460c3Cf931Fb2014FA436a49e3Af08619810e'],8b554c6d-6b42-4c80-8d46-a1488538a021,8.56984,1.2475,,False,yes,multi,"{'predictedClass': 'Down', 'predictedProbability': 59, 'binnedConfidence': 1}",,29.35087,0.38043,15,False,"['0x1502fa4be69d526124d453619276faccab275d3d', '0xe7cd86e13ac4309349f30b3435a9d337750fc82d']",,,29.19531,,,
Flare,sparkdex-v4,WETH-FLRETH,235378,0.21231,3.17903,3.39134,['0x26d460c3Cf931Fb2014FA436a49e3Af08619810e'],89cbdfbf-5106-4c0b-92f8-06c0ad5576c3,-0.3815,-1.52536,,False,no,multi,"{'predictedClass': 'Stable/Up', 'predictedProbability': 57.99999999999999, 'binnedConfidence': 1}",,7.02269,0.22594,15,False,"['0x1502fa4be69d526124d453619276faccab275d3d', '0x26a1fab310bd080542dc864647d05985360b16a5']",,,7.21435,,,
Flare,sparkdex-v3.1,YUSDX-CUSDX,217787,0.0,8.837,8.837,['0x26d460c3Cf931Fb2014FA436a49e3Af08619810e'],679b2e45-6326-4b7a-a964-f570161eba4b,-0.14101,-1.30645,-8.69006,True,no,multi,"{'predictedClass': 'Down', 'predictedProbability': 50, 'binnedConfidence': 1}",,17.2188,0.26773,70,False,"['0x6b9e9d89e0e9fd93eb95d8c7715be2a8de64af07', '0xfe2907dfa8db6e320cdbf45f0aa888f6135ec4f8']",,,16.13853,,,
